# Quadriceps.jl catalog of rules128.bin (IEEE binary128) — written by build/build_data.jl; do not edit by hand
# relerr128: largest relative monomial error of the rule rounded to binary128, in wider arithmetic; 2^-112 = 1.93e-34 is the machine epsilon
# extendedfile, sha256: the deposit's 80-digit file (rules_extended/ in the Zenodo archive) the binary128 rule was rounded from;
# relerr80: the deposit's measured error of that 80-digit rule (err_extended in its summary.csv)
family	d	p	n	relerr128	extendedfile	sha256	relerr80
le	4	3	8	1.492e-35	legendre_d4_p3_q2_n8.mp.csv	7d87d247f33431ebbfdf87b50c3a9397769994ad8b6f98fe167ed300bf21aae1	2.211e-77
le	4	5	21	1.759e-35	legendre_d4_p5_q3_n21.mp.csv	923cb6d163c3bc62dff5a94e397b87adc67a1092673580bf0e2652acbeefee6e	4.738e-76
le	4	7	54	1.545e-35	legendre_d4_p7_q4_n54.mp.csv	8b63fae7e13a5cada1eea0d9f3d9bf6a5f377a1b6d0059cc0fd355aafd6a615a	2.393e-75
le	4	9	120	1.166e-35	legendre_d4_p9_q5_n120.mp.csv	cbf7678a769a0f5274180a13c4a8038a7a33917ecb8c94c1764c20038612c00b	1.999e-74
le	4	11	234	5.154e-36	legendre_d4_p11_q6_n234.mp.csv	befbfc4f5f56df59c272199d67c2934cab11065213c0c5afbd6e83698735c647	5.360e-73
le	4	13	416	4.608e-36	legendre_d4_p13_q7_n416.mp.csv	53b1beb0b9966af056e2d608d5a46d7c52cb40a202bb109e266e5dab8e70046b	5.917e-72
le	4	15	690	4.723e-36	legendre_d4_p15_q8_n690.mp.csv	fe23fb95f85db99f58e99df07a393e6eb3c335cdf0426875ef98e72e60e5f7b0	5.942e-71
le	4	17	1078	3.402e-36	legendre_d4_p17_q9_n1078.mp.csv	7342da2987dcc067a9456f8e3abe30e16e582f4656049d96d3db6484cd388135	3.915e-71
le	4	19	1612	1.916e-36	legendre_d4_p19_q10_n1612.mp.csv	b506accc91b2802e2b5090391fe3dd693420ebccf5b789943f5c46f7d89e9c58	2.745e-70
le	4	21	2322	2.606e-36	legendre_d4_p21_q11_n2322.mp.csv	189c64a49c96ef842d658f53e668a22d2db7e1331063bf7914cd1fddc29b42a4	5.860e-71
le	4	23	3244	2.169e-36	legendre_d4_p23_q12_n3244.mp.csv	e83c40a529876656dd97f0dfd3de27138ac9d8492addb167a11f5a159ff27ee4	8.011e-76
le	5	1	1	0.000e+00	legendre_d5_p1_q1_n1.mp.csv	bb6f6653adccd2657ff12cf8049db2c7e656c37ab006b7de7a55752b86109e1b	0.000e+00
le	5	3	10	3.231e-35	legendre_d5_p3_q2_n10.mp.csv	b7f639a4cf38ea26f97366de1d7819d7bfb25e50c438e8a41fe7d26e7887bb7a	4.112e-77
le	5	5	32	1.806e-35	legendre_d5_p5_q3_n32.mp.csv	401b208447ffc493a83f8ee12b64acfc66e260b9b9778a9a9a1c6bc2fe862d4c	1.219e-75
le	5	7	100	6.211e-36	legendre_d5_p7_q4_n100.mp.csv	d8c10a52888a4b479c2e6a5c6ffd85e25efcc29f4bd7cb2262bbfb7cc271ff3a	2.879e-73
le	5	9	266	7.301e-36	legendre_d5_p9_q5_n266.mp.csv	3377226fe4f808e71236a2865b737ba43dda21ca36d62234d015a171c1b789fe	4.401e-72
le	5	11	602	7.218e-36	legendre_d5_p11_q6_n602.mp.csv	1bd4ab36080cac5753da7bfec1fa7b85fd53b3e7f4638a882dbd28cdf7567067	2.213e-72
le	5	13	1212	3.524e-36	legendre_d5_p13_q7_n1212.mp.csv	2a9b7e8093d4ef9aed46c5a920f8bf992c8890a20311341b8e0e38d363b06474	4.599e-73
le	5	15	2500	1.692e-36	legendre_d5_p15_q8_n2500.mp.csv	3115c4405a03773da511af72a2840800a0071d2a1e29866ae96607b3d37ee1d3	4.605e-73
le	5	17	3872	3.461e-36	legendre_d5_p17_q9_n3872.mp.csv	f229da88247f40962676056a29b6285b01f7d9adf71990345dddac6e1b475515	1.248e-71
le	5	19	6826	1.948e-36	legendre_d5_p19_q10_n6826.mp.csv	4f36f57ec77fd295536386a13ba31a7fb29a4a1e4b6c83687352d3045e5e6573	1.372e-78
le	5	21	10984	8.838e-37	legendre_d5_p21_q11_n10984.mp.csv	090f1bf74270fe01e27029269728cd2a8f76b8cb3fee40909597f40ac51a6087	1.125e-78
